ID :  16, Time : 371, Before : 11, After :  9
ID :  60, Time : 371, Before : 18, After : 15
ID :  53, Time : 373, Before :  6, After :  7
ID :  98, Time : 374, Before :  1, After :  4
ID :  11, Time : 376, Before :  5, After :  9
ID :  94, Time : 378, Before :  9, After :  5
ID :  54, Time : 378, Before : 12, After :  2
ID : 100, Time : 379, Before : 11, After :  4
ID :  99, Time : 380, Before : 10, After : 11
ID :  70, Time : 381, Before :  5, After : 16
ID :  97, Time : 381, Before :  7, After : 14
ID :  58, Time : 382, Before : 12, After :  2
ID :  74, Time : 384, Before :  1, After : 10
ID :  54, Time : 384, Before :  2, After : 10
ID :  78, Time : 386, Before : 11, After : 13
ID : 100, Time : 387, Before :  4, After : 13
ID :  30, Time : 389, Before :  4, After :  7
ID :  95, Time : 390, Before : 14, After : 10
ID :  98, Time : 391, Before :  4, After :  7
ID :  44, Time : 391, Before : 11, After : 14
ID :  32, Time : 393, Before : 11, After : 14
ID :  60, Time : 394, Before : 15, After : 14
ID :  48, Time : 394, Before : 10, After : 15
ID :  12, Time : 395, Before : 11, After : 10
ID :  65, Time : 397, Before : 15, After : 18
ID :  17, Time : 401, Before :  4, After : 13
ID :  83, Time : 401, Before : 11, After : 16
ID :   8, Time : 401, Before : 13, After : 16
ID :  27, Time : 402, Before : 12, After :  3
ID :  37, Time : 402, Before : 19, After : 17
ID :  38, Time : 404, Before :  3, After : 16
ID :   5, Time : 405, Before :  3, After : 16
ID :  27, Time : 405, Before :  3, After : 14
ID :  54, Time : 405, Before : 10, After :  2
ID :  36, Time : 406, Before :  3, After :  9
ID :  77, Time : 406, Before :  4, After :  9
ID :  93, Time : 407, Before : 11, After : 14
ID :  47, Time : 407, Before :  4, After :  9
ID :  26, Time : 408, Before : 13, After :  5
ID :  92, Time : 413, Before :  8, After : 18
ID :  72, Time : 415, Before :  9, After :  5
ID :  63, Time : 415, Before : 11, After : 16
ID :  20, Time : 416, Before : 13, After : 19
ID :  71, Time : 420, Before :  7, After :  6
ID :  37, Time : 420, Before : 17, After : 19
ID :  12, Time : 421, Before : 10, After :  1
ID :  29, Time : 421, Before : 16, After : 13
ID :  13, Time : 424, Before :  6, After :  1
ID :  30, Time : 426, Before :  7, After :  4
ID :  56, Time : 428, Before : 16, After : 14
ID :  44, Time : 428, Before : 14, After : 15
ID :  71, Time : 429, Before :  6, After :  7
ID :  67, Time : 429, Before : 14, After : 16
ID :  46, Time : 429, Before : 17, After : 11
ID :  88, Time : 431, Before :  5, After :  9
ID :  17, Time : 432, Before : 13, After :  1
ID :  35, Time : 434, Before : 19, After : 17
ID :  83, Time : 435, Before : 16, After : 11
ID :  67, Time : 437, Before : 16, After : 17
ID :  81, Time : 437, Before : 19, After : 16
ID :   8, Time : 438, Before : 16, After : 13
ID :  43, Time : 445, Before :  6, After :  7
ID :   7, Time : 445, Before : 13, After :  3
ID :  94, Time : 445, Before :  5, After :  9
ID :  58, Time : 445, Before :  2, After : 12
ID :  49, Time : 445, Before : 12, After : 10
ID :   5, Time : 446, Before : 16, After :  3
ID :  35, Time : 449, Before : 17, After : 19
ID :  73, Time : 450, Before : 11, After : 13
ID :  77, Time : 451, Before :  9, After :  2
ID :  25, Time : 452, Before : 16, After : 13
ID :  74, Time : 453, Before : 10, After :  1
ID :  28, Time : 453, Before : 13, After :  4
ID :  55, Time : 455, Before : 10, After : 14
ID :  27, Time : 455, Before : 14, After :  3
ID :  86, Time : 455, Before : 15, After : 17
ID :   6, Time : 455, Before :  9, After : 18
ID :  16, Time : 457, Before :  9, After :  3
ID :  51, Time : 458, Before :  3, After : 16
ID :  69, Time : 458, Before :  3, After : 13
ID :  56, Time : 460, Before : 14, After : 16
ID :  84, Time : 461, Before : 14, After : 16
ID :  67, Time : 463, Before : 17, After : 14
ID :  43, Time : 465, Before :  7, After :  6
ID :  58, Time : 465, Before : 12, After :  2
ID :  45, Time : 467, Before : 13, After :  8
ID :  95, Time : 468, Before : 10, After : 14
ID :  32, Time : 468, Before : 14, After : 10
ID :  49, Time : 469, Before : 10, After : 12
ID :  73, Time : 470, Before : 13, After : 11
ID :  55, Time : 474, Before : 14, After : 10
ID :  42, Time : 475, Before :  2, After : 10
ID :  48, Time : 475, Before : 15, After : 18
ID :  53, Time : 476, Before :  7, After :  6
ID :  74, Time : 477, Before :  1, After :  2
ID :  38, Time : 477, Before : 16, After : 17
ID :  24, Time : 479, Before :  2, After :  9
ID :  16, Time : 479, Before :  3, After :  9
ID :  23, Time : 479, Before :  3, After : 12
ID :  95, Time : 480, Before : 14, After : 11
ID :  17, Time : 481, Before :  1, After :  4
ID :  36, Time : 482, Before :  9, After :  2
ID :  27, Time : 483, Before :  3, After : 14
ID :  97, Time : 484, Before : 14, After : 11
ID :  55, Time : 485, Before : 10, After : 14
ID :  18, Time : 486, Before :  1, After : 11
ID :  42, Time : 486, Before : 10, After :  2
ID :  15, Time : 486, Before : 17, After : 19
ID :  35, Time : 486, Before : 19, After : 17
ID :  40, Time : 487, Before : 13, After :  3
ID :   1, Time : 487, Before : 16, After : 17
ID :  68, Time : 489, Before : 18, After :  9
ID :  16, Time : 490, Before :  9, After : 11
ID :  32, Time : 490, Before : 10, After : 14
ID :  88, Time : 491, Before :  9, After : 11
ID :  64, Time : 491, Before : 10, After :  2
ID :  34, Time : 491, Before : 19, After : 17
ID :  27, Time : 491, Before : 14, After :  3
